epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8397.66,0.95724,0.58783,1.02459,0.85807,0.74832,0.82895,0.55842,0.88241,0.51094,1.01486,0.000990365,0.000990365,0.000990365
43,8576.92,0.961,0.58295,1.02737,0.85083,0.75326,0.8302,0.55939,0.8794,0.50689,1.01355,0.000973861,0.000973861,0.000973861
44,8757.51,0.95798,0.57988,1.02955,0.8702,0.74945,0.8314,0.55868,0.87756,0.50282,1.01081,0.000957358,0.000957358,0.000957358
45,8937.77,0.95347,0.57816,1.02689,0.88156,0.73288,0.82822,0.56144,0.86901,0.49867,1.00811,0.000940855,0.000940855,0.000940855
46,9120.68,0.94973,0.57526,1.02364,0.86431,0.75065,0.83595,0.5644,0.86661,0.50012,1.00682,0.000924352,0.000924352,0.000924352
47,9302.58,0.94667,0.57188,1.02274,0.88052,0.75353,0.83861,0.56931,0.85241,0.49124,1.00363,0.000907848,0.000907848,0.000907848
48,9482.28,0.93175,0.56176,1.01566,0.8875,0.75151,0.84195,0.57271,0.8543,0.48644,1.00326,0.000891345,0.000891345,0.000891345
49,9669.71,0.92766,0.55837,1.01222,0.87527,0.75633,0.8453,0.57605,0.84958,0.48286,1.00053,0.000874842,0.000874842,0.000874842
50,9850.33,0.93292,0.56278,1.01596,0.8947,0.74653,0.8478,0.58157,0.8428,0.48236,0.99627,0.000858338,0.000858338,0.000858338
51,10031,0.9287,0.55744,1.01323,0.88833,0.76048,0.85227,0.5811,0.83908,0.47914,0.99383,0.000841835,0.000841835,0.000841835
52,10211.7,0.92132,0.5527,1.00883,0.88548,0.75835,0.85127,0.58463,0.8348,0.47353,0.99209,0.000825332,0.000825332,0.000825332
53,10391.6,0.91603,0.54847,1.00661,0.88965,0.76179,0.85451,0.58539,0.83546,0.4727,0.99287,0.000808828,0.000808828,0.000808828
54,10574.3,0.91628,0.55078,1.00665,0.89425,0.7643,0.85674,0.58721,0.82971,0.46995,0.98922,0.000792325,0.000792325,0.000792325
55,10753,0.9093,0.54254,1.00274,0.88119,0.76827,0.85423,0.58683,0.82979,0.46941,0.98876,0.000775822,0.000775822,0.000775822
56,10933.9,0.89591,0.53813,0.99751,0.88466,0.77227,0.858,0.58978,0.82454,0.46674,0.98742,0.000759318,0.000759318,0.000759318
57,11113.7,0.89837,0.53894,0.99928,0.89058,0.77579,0.85713,0.59097,0.81989,0.46366,0.98691,0.000742815,0.000742815,0.000742815
58,11293.4,0.89193,0.53136,0.99599,0.89435,0.7725,0.85716,0.59203,0.82127,0.46196,0.9854,0.000726312,0.000726312,0.000726312
59,11476.5,0.88528,0.53396,0.99475,0.90197,0.77185,0.86084,0.59693,0.81326,0.45985,0.98206,0.000709809,0.000709809,0.000709809
60,11657,0.88276,0.5265,0.99168,0.87372,0.79165,0.86382,0.59492,0.81339,0.45621,0.98189,0.000693305,0.000693305,0.000693305
61,11837.7,0.87939,0.526,0.99218,0.89126,0.77985,0.86526,0.59784,0.80804,0.45508,0.98025,0.000676802,0.000676802,0.000676802
62,12019.5,0.87657,0.52402,0.9888,0.89734,0.78251,0.86747,0.59935,0.80845,0.45377,0.98022,0.000660299,0.000660299,0.000660299
63,12199.2,0.88433,0.52752,0.99287,0.89177,0.78124,0.863,0.60004,0.80103,0.45291,0.97896,0.000643795,0.000643795,0.000643795
64,12379.2,0.86999,0.52178,0.98777,0.89669,0.78267,0.86614,0.60246,0.80042,0.44948,0.97751,0.000627292,0.000627292,0.000627292
65,12558.8,0.86527,0.51509,0.98423,0.89055,0.78306,0.8696,0.60628,0.79643,0.44598,0.97493,0.000610789,0.000610789,0.000610789
66,12739.2,0.86791,0.5164,0.98457,0.8825,0.79506,0.86689,0.60577,0.79456,0.44619,0.97378,0.000594286,0.000594286,0.000594286
67,12919.8,0.86405,0.51863,0.98488,0.90303,0.78259,0.86461,0.60546,0.79194,0.44593,0.97291,0.000577782,0.000577782,0.000577782
68,13101.6,0.85589,0.50794,0.98086,0.88029,0.78956,0.86411,0.60772,0.78808,0.44348,0.97323,0.000561279,0.000561279,0.000561279
69,13282.8,0.85302,0.50646,0.98188,0.88767,0.79067,0.86827,0.61017,0.78343,0.43971,0.97019,0.000544776,0.000544776,0.000544776
70,13463.3,0.84739,0.50218,0.97625,0.88911,0.78828,0.86926,0.61209,0.77982,0.43805,0.96882,0.000528272,0.000528272,0.000528272
71,13642.9,0.85159,0.50396,0.9774,0.89153,0.79517,0.87444,0.61362,0.78037,0.43862,0.96778,0.000511769,0.000511769,0.000511769
72,13826.9,0.85017,0.50703,0.97544,0.89541,0.78813,0.87139,0.61234,0.77863,0.43872,0.9666,0.000495266,0.000495266,0.000495266
73,14005.6,0.83679,0.4967,0.97348,0.8919,0.7915,0.8709,0.61228,0.77675,0.4367,0.9668,0.000478762,0.000478762,0.000478762
74,14186.4,0.84003,0.49958,0.97171,0.90008,0.78861,0.86926,0.61391,0.77852,0.43648,0.9669,0.000462259,0.000462259,0.000462259
75,14366.1,0.83406,0.49739,0.96904,0.89084,0.80074,0.87756,0.61741,0.77625,0.43675,0.96514,0.000445756,0.000445756,0.000445756
76,14546.9,0.8311,0.49626,0.96975,0.89665,0.79595,0.8776,0.61837,0.77647,0.4362,0.96582,0.000429253,0.000429253,0.000429253
77,14729.9,0.83227,0.49406,0.96768,0.89715,0.79993,0.8784,0.62007,0.77417,0.43552,0.9637,0.000412749,0.000412749,0.000412749
78,14940.9,0.83332,0.49706,0.96829,0.89557,0.805,0.88109,0.61938,0.77487,0.43516,0.96336,0.000396246,0.000396246,0.000396246
79,15171.9,0.8315,0.49525,0.96519,0.90537,0.79418,0.87752,0.61825,0.77507,0.43506,0.96358,0.000379743,0.000379743,0.000379743
