epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8256.23,0.85941,0.51512,0.9285,0.90822,0.80372,0.88661,0.62262,0.79463,0.44764,0.92582,0.000990365,0.000990365,0.000990365
43,8432.8,0.8589,0.51435,0.92925,0.91684,0.80597,0.89007,0.6248,0.78971,0.44483,0.92522,0.000973861,0.000973861,0.000973861
44,8610.15,0.85526,0.51114,0.93188,0.89653,0.80758,0.88379,0.62534,0.78696,0.44175,0.92371,0.000957358,0.000957358,0.000957358
45,8787.11,0.85782,0.51297,0.93093,0.91144,0.80637,0.88741,0.62916,0.78145,0.44195,0.92053,0.000940855,0.000940855,0.000940855
46,8967.03,0.84781,0.50698,0.92752,0.91193,0.80459,0.88878,0.62717,0.77948,0.43659,0.92294,0.000924352,0.000924352,0.000924352
47,9151.59,0.84555,0.50508,0.92687,0.91084,0.81511,0.89084,0.63055,0.77321,0.43133,0.92038,0.000907848,0.000907848,0.000907848
48,9329.9,0.83026,0.49461,0.92079,0.91652,0.80176,0.88998,0.63305,0.76992,0.43294,0.91763,0.000891345,0.000891345,0.000891345
49,9507.73,0.83153,0.49553,0.92005,0.91336,0.80909,0.88993,0.63173,0.7715,0.43094,0.91829,0.000874842,0.000874842,0.000874842
50,9685.82,0.83238,0.49503,0.92166,0.91118,0.82179,0.8982,0.63895,0.76258,0.42532,0.91685,0.000858338,0.000858338,0.000858338
51,9863.26,0.82495,0.49092,0.92053,0.9177,0.81112,0.89718,0.63944,0.7641,0.43071,0.9159,0.000841835,0.000841835,0.000841835
52,10042.6,0.82388,0.48894,0.91876,0.89614,0.83541,0.89805,0.64059,0.75939,0.42274,0.91557,0.000825332,0.000825332,0.000825332
53,10219.7,0.81638,0.48443,0.91459,0.8998,0.82565,0.89748,0.6435,0.75346,0.42062,0.91376,0.000808828,0.000808828,0.000808828
54,10398.6,0.81323,0.48458,0.91584,0.90995,0.82387,0.89915,0.64353,0.751,0.41681,0.91191,0.000792325,0.000792325,0.000792325
55,10575.6,0.80804,0.47854,0.91301,0.92687,0.8181,0.9004,0.64616,0.74617,0.41363,0.91142,0.000775822,0.000775822,0.000775822
56,10754.1,0.79862,0.47535,0.91174,0.91519,0.82499,0.89967,0.64651,0.75,0.41581,0.91228,0.000759318,0.000759318,0.000759318
57,10933.2,0.79801,0.47292,0.91025,0.92193,0.8236,0.90094,0.64831,0.7476,0.41237,0.91114,0.000742815,0.000742815,0.000742815
58,11110.4,0.79307,0.46831,0.90764,0.90835,0.83619,0.902,0.64843,0.74637,0.4124,0.91004,0.000726312,0.000726312,0.000726312
59,11288.7,0.78821,0.46926,0.90855,0.92658,0.82663,0.90226,0.65223,0.7383,0.40778,0.90944,0.000709809,0.000709809,0.000709809
60,11465.7,0.78473,0.46403,0.90678,0.91637,0.83189,0.90154,0.65171,0.74083,0.41016,0.90831,0.000693305,0.000693305,0.000693305
61,11645.9,0.7832,0.46337,0.90611,0.92476,0.82633,0.9019,0.65607,0.73553,0.405,0.90737,0.000676802,0.000676802,0.000676802
62,11824.4,0.77985,0.4608,0.90577,0.91767,0.83054,0.90238,0.65494,0.73278,0.40141,0.90714,0.000660299,0.000660299,0.000660299
63,12001.7,0.78538,0.46514,0.90591,0.912,0.83694,0.90324,0.6562,0.73078,0.40185,0.9066,0.000643795,0.000643795,0.000643795
64,12178.6,0.77121,0.45789,0.9033,0.91681,0.83419,0.9052,0.65455,0.73156,0.40198,0.90654,0.000627292,0.000627292,0.000627292
65,12360.1,0.7696,0.45309,0.90274,0.9109,0.83935,0.90212,0.65856,0.72643,0.39961,0.90504,0.000610789,0.000610789,0.000610789
66,12572.4,0.77139,0.45532,0.90268,0.92087,0.83634,0.9057,0.66053,0.72279,0.39731,0.90325,0.000594286,0.000594286,0.000594286
67,12783.6,0.76767,0.4551,0.90064,0.92047,0.83728,0.90654,0.66198,0.72205,0.39744,0.90308,0.000577782,0.000577782,0.000577782
68,12990.9,0.75479,0.44559,0.89653,0.9165,0.84477,0.9081,0.66158,0.71361,0.39405,0.90155,0.000561279,0.000561279,0.000561279
69,13178.2,0.75431,0.44646,0.89913,0.92104,0.83813,0.90877,0.66327,0.71151,0.39294,0.90003,0.000544776,0.000544776,0.000544776
70,13382.4,0.75061,0.44174,0.89613,0.91892,0.83487,0.90762,0.66292,0.71219,0.3903,0.90091,0.000528272,0.000528272,0.000528272
71,13603,0.75548,0.44407,0.8974,0.91611,0.83987,0.90639,0.66321,0.71309,0.39083,0.90137,0.000511769,0.000511769,0.000511769
72,13827.3,0.7517,0.44277,0.8965,0.92464,0.82839,0.90484,0.66451,0.71033,0.39212,0.90115,0.000495266,0.000495266,0.000495266
73,14048.3,0.73711,0.43402,0.89298,0.92138,0.83578,0.91058,0.66655,0.70912,0.38847,0.90036,0.000478762,0.000478762,0.000478762
74,14273.9,0.73915,0.43676,0.89145,0.92678,0.84067,0.91012,0.66694,0.70774,0.38735,0.89976,0.000462259,0.000462259,0.000462259
75,14485,0.73159,0.43152,0.89007,0.92778,0.84039,0.91132,0.66731,0.70649,0.38577,0.89904,0.000445756,0.000445756,0.000445756
76,14696.1,0.72965,0.42921,0.8901,0.90858,0.84606,0.91038,0.66916,0.70513,0.38634,0.89865,0.000429253,0.000429253,0.000429253
77,14905.6,0.73258,0.42906,0.89183,0.91803,0.84448,0.91107,0.66657,0.70252,0.38489,0.89857,0.000412749,0.000412749,0.000412749
78,15113.2,0.72725,0.4286,0.88961,0.91911,0.83953,0.90969,0.66772,0.70039,0.38176,0.89733,0.000396246,0.000396246,0.000396246
79,15327.3,0.72682,0.42743,0.88773,0.91695,0.84623,0.91313,0.67109,0.69918,0.38247,0.89704,0.000379743,0.000379743,0.000379743
80,15544.2,0.71345,0.41978,0.88426,0.92881,0.83893,0.91283,0.67123,0.69704,0.38013,0.89584,0.000363239,0.000363239,0.000363239
81,15728.2,0.65109,0.37023,0.85789,0.92031,0.84152,0.90929,0.66757,0.70549,0.38582,0.89889,0.000346736,0.000346736,0.000346736
82,15910,0.63727,0.36396,0.85239,0.91398,0.84257,0.91001,0.66937,0.6987,0.384,0.89638,0.000330233,0.000330233,0.000330233
83,16094.5,0.63164,0.36173,0.85097,0.92147,0.84244,0.9104,0.66937,0.69831,0.38316,0.89604,0.000313729,0.000313729,0.000313729
84,16275.7,0.6238,0.35813,0.84874,0.91432,0.84567,0.9126,0.67125,0.69372,0.38219,0.89478,0.000297226,0.000297226,0.000297226
85,16459.6,0.61561,0.35445,0.84606,0.91635,0.84723,0.91312,0.67205,0.69165,0.37911,0.89433,0.000280723,0.000280723,0.000280723
86,16652.2,0.61651,0.35377,0.84674,0.9198,0.84061,0.91179,0.67376,0.68923,0.37937,0.89405,0.00026422,0.00026422,0.00026422
87,16832.7,0.61132,0.35092,0.84703,0.92138,0.84301,0.91202,0.67325,0.68835,0.3777,0.89346,0.000247716,0.000247716,0.000247716
88,17022.6,0.60626,0.34991,0.84558,0.92243,0.84349,0.91418,0.67494,0.68619,0.37654,0.89235,0.000231213,0.000231213,0.000231213
89,17205.6,0.59962,0.34524,0.84439,0.92881,0.84265,0.91299,0.67572,0.68355,0.37492,0.8916,0.00021471,0.00021471,0.00021471
90,17386.4,0.5956,0.34239,0.84141,0.9261,0.83787,0.91169,0.67414,0.68391,0.37383,0.89213,0.000198206,0.000198206,0.000198206
91,17574.6,0.59095,0.34027,0.83985,0.9274,0.83951,0.91297,0.67641,0.68296,0.37434,0.89251,0.000181703,0.000181703,0.000181703
92,17756,0.59144,0.3399,0.84035,0.92451,0.84298,0.91297,0.67746,0.68114,0.3742,0.89182,0.0001652,0.0001652,0.0001652
93,17944.3,0.58335,0.33727,0.83945,0.91912,0.84605,0.9125,0.67759,0.67882,0.37223,0.89113,0.000148696,0.000148696,0.000148696
94,18151.9,0.57956,0.3324,0.83742,0.92692,0.84345,0.91272,0.67866,0.67844,0.37109,0.89084,0.000132193,0.000132193,0.000132193
95,18360.6,0.58024,0.33346,0.83886,0.92486,0.84358,0.91301,0.67949,0.67773,0.36996,0.89069,0.00011569,0.00011569,0.00011569
96,18543.9,0.57071,0.33002,0.83667,0.92404,0.84493,0.91289,0.67984,0.67625,0.36973,0.89045,9.91865e-05,9.91865e-05,9.91865e-05
97,18726.5,0.57229,0.32947,0.83868,0.9263,0.84355,0.91349,0.68042,0.67447,0.36933,0.89012,8.26832e-05,8.26832e-05,8.26832e-05
98,18913.8,0.56749,0.32705,0.83582,0.92639,0.84264,0.91291,0.67945,0.67454,0.36927,0.88989,6.61799e-05,6.61799e-05,6.61799e-05
99,19105,0.56287,0.32462,0.8338,0.9268,0.84429,0.9129,0.67919,0.674,0.36866,0.8895,4.96766e-05,4.96766e-05,4.96766e-05
100,19291.9,0.56164,0.32463,0.83205,0.92835,0.84356,0.91333,0.67997,0.67423,0.36874,0.88942,3.31733e-05,3.31733e-05,3.31733e-05
